epoch train_loss val_loss train_dice val_dice
1 0.3820 0.2064 0.6482 0.6993
2 0.2405 0.1876 0.6673 0.6993
3 0.2301 0.1794 0.6673 0.6993
4 0.2179 0.1667 0.6673 0.6993
5 0.2016 0.1561 0.6877 0.8300
6 0.1795 0.1167 0.8101 0.8992
7 0.0997 0.0792 0.8782 0.9036
8 0.0821 0.0773 0.8888 0.9047
9 0.0745 0.0773 0.8970 0.9055
10 0.0717 0.0776 0.8995 0.9052
11 0.0693 0.0745 0.9028 0.9092
12 0.0654 0.0730 0.9070 0.9110
13 0.0650 0.0739 0.9066 0.9106
14 0.0619 0.0731 0.9098 0.9114
15 0.0615 0.0735 0.9100 0.9108
16 0.0601 0.0735 0.9127 0.9116
17 0.0575 0.0743 0.9141 0.9104
18 0.0570 0.0732 0.9147 0.9112
19 0.0563 0.0728 0.9162 0.9126
20 0.0551 0.0739 0.9171 0.9117
21 0.0548 0.0738 0.9167 0.9107
22 0.0548 0.0725 0.9174 0.9123
23 0.0523 0.0733 0.9198 0.9116
24 0.0512 0.0751 0.9214 0.9092
25 0.0516 0.0741 0.9205 0.9109
26 0.0503 0.0733 0.9219 0.9110
27 0.0502 0.0726 0.9218 0.9124
28 0.0493 0.0721 0.9213 0.9133
29 0.0492 0.0727 0.9216 0.9124
30 0.0476 0.0723 0.9245 0.9127
31 0.0469 0.0728 0.9246 0.9117
32 0.0466 0.0716 0.9247 0.9137
33 0.0458 0.0713 0.9251 0.9139
34 0.0467 0.0723 0.9237 0.9125
35 0.0449 0.0723 0.9259 0.9126
36 0.0451 0.0743 0.9251 0.9106
37 0.0442 0.0723 0.9261 0.9130
38 0.0442 0.0732 0.9258 0.9118
39 0.0443 0.0735 0.9255 0.9113
40 0.0434 0.0726 0.9260 0.9121
41 0.0425 0.0731 0.9275 0.9116
42 0.0418 0.0723 0.9279 0.9127
43 0.0418 0.0733 0.9279 0.9112
44 0.0413 0.0719 0.9276 0.9129
45 0.0416 0.0715 0.9273 0.9134
46 0.0414 0.0733 0.9275 0.9109
47 0.0408 0.0732 0.9287 0.9116
48 0.0406 0.0733 0.9282 0.9109
49 0.0400 0.0728 0.9287 0.9123
50 0.0394 0.0719 0.9293 0.9125
51 0.0392 0.0730 0.9295 0.9114
52 0.0393 0.0725 0.9294 0.9118
53 0.0397 0.0727 0.9294 0.9117
54 0.0392 0.0718 0.9304 0.9127
55 0.0389 0.0718 0.9303 0.9130
56 0.0383 0.0722 0.9308 0.9120
57 0.0382 0.0718 0.9311 0.9130
58 0.0385 0.0728 0.9303 0.9111
59 0.0373 0.0714 0.9311 0.9131
60 0.0378 0.0720 0.9309 0.9124
61 0.0372 0.0720 0.9313 0.9124
62 0.0373 0.0736 0.9311 0.9106
63 0.0375 0.0726 0.9313 0.9115
